process_unit_id_v2,hr_process_name,hr_system_name,region,contact_channel,total_cases,avg_resolution_time_hours,avg_first_response_time_hours,sla_breach_rate,escalation_rate,avg_complexity_score,avg_satisfaction_score,avg_previous_cases,avg_employee_tenure_months,high_priority_rate,urgent_priority_rate,volume_score,resolution_time_score,first_response_score,sla_risk_score,escalation_score,complexity_score,previous_cases_score,high_priority_score,urgent_priority_score,automation_score,automation_priority,recommended_solution,estimated_savings_rate,estimated_hours_saved,estimated_manual_work_rate,estimated_manual_handling_time_hours,estimated_operational_hours_saved,ranking,hr_contact_channel
HR System Performance Issue | Payroll Payment Gateway | Europe | Social Media,HR System Performance Issue,Payroll Payment Gateway,Europe,Social Media,89,122.7752808988764,40.72067415730337,0.5730337078651685,0.4606741573033708,6.168539325842697,2.9213483146067416,10.696629213483146,31.359550561797754,0.2808988764044944,0.2808988764044944,0.912280701754386,0.5077052315471035,0.7784459937399656,0.6359565613311559,0.4295380468416926,0.7381896858370148,0.6698111089371228,0.6045765337121439,0.4943534140567449,66.45,Alta,Automatización parcial con alertas SLA,0.35,3824.45,0.18,22.1,688.42,1,Internal Collaboration Tool
Benefits Cancellation Request | Payroll System | Asia | Social Media,Benefits Cancellation Request,Payroll System,Asia,Social Media,84,121.30130952380952,43.38285714285714,0.5714285714285714,0.4523809523809524,6.392857142857143,2.8095238095238093,10.488095238095235,32.20238095238095,0.3095238095238095,0.2142857142857142,0.8245614035087719,0.483172387108712,0.9203965919286118,0.6322839919624916,0.4115812787783411,0.8326417600788097,0.6273959055503444,0.6785260943676785,0.3288169500772937,65.56,Alta,Automatización parcial con alertas SLA,0.35,3566.26,0.18,21.83,641.8,2,Internal Collaboration Tool
Benefits Reimbursement Request | Benefits Administration System | Europe | Phone,Benefits Reimbursement Request,Benefits Administration System,Europe,Phone,74,134.08824324324326,43.97905405405405,0.6081081081081081,0.5675675675675675,5.648648648648648,2.702702702702702,10.27027027027027,30.2972972972973,0.2567567567567567,0.2297297297297297,0.6491228070175439,0.695998674707856,0.9521864833980822,0.7162071649680491,0.6609877931787356,0.5192826302428223,0.5830909413552862,0.5422078590395422,0.3671959674505823,65.23,Alta,Automatización parcial con alertas SLA,0.35,3472.89,0.18,24.14,625.23,3,Phone
Benefits Reimbursement Request | Employee Mobile App | Asia | Email,Benefits Reimbursement Request,Employee Mobile App,Asia,Email,76,140.53184210526317,40.630526315789474,0.5263157894736842,0.5657894736842105,6.065789473684211,3.1973684210526314,10.355263157894736,32.60526315789474,0.2368421052631578,0.2368421052631578,0.6842105263157895,0.8032462177601475,0.7736392091959455,0.5290654633905595,0.6571377955292147,0.6949254601345073,0.6003782472166713,0.490760412073596,0.384870514925123,64.5,Alta,Automatización parcial con alertas SLA,0.35,3738.15,0.18,25.3,672.98,4,Email
Payroll Support Request | Payroll Payment Gateway | Asia | Chat,Payroll Support Request,Payroll Payment Gateway,Asia,Chat,82,121.98621951219512,39.00231707317073,0.5121951219512195,0.6341463414634146,5.951219512195122,2.707317073170732,11.24390243902439,30.25609756097561,0.2439024390243902,0.3292682926829268,0.7894736842105263,0.4945720590993586,0.6868212567034965,0.4967572247725157,0.8051467295578708,0.6466842162936309,0.7811248894675644,0.5090000557278992,0.6145534147893994,64.38,Alta,Chatbot o asistente virtual,0.35,3501.0,0.18,21.96,630.25,5,HR Chat / Virtual Assistant
HR System Performance Issue | HR Case Management Platform | Africa | Social Media,HR System Performance Issue,HR Case Management Platform,Africa,Social Media,75,132.85946666666666,37.9464,0.5466666666666666,0.6,6.24,3.16,9.92,27.333333333333332,0.2266666666666666,0.3466666666666667,0.6666666666666666,0.6755468632869422,0.6305185678997772,0.5756284885018977,0.7312117503059975,0.7682791766795529,0.5118469882957465,0.4644732165524244,0.6577890939953321,64.38,Alta,Automatización parcial con alertas SLA,0.35,3487.56,0.18,23.91,627.64,6,Internal Collaboration Tool
HR Platform Bug Report | HR Case Management Platform | Australia | Phone,HR Platform Bug Report,HR Case Management Platform,Australia,Phone,71,128.90591549295775,38.835915492957746,0.6056338028169014,0.6619718309859155,6.070422535211268,3.0140845070422535,9.690140845070422,29.52112676056338,0.1830985915492957,0.3380281690140845,0.5964912280701754,0.60974378354978,0.6779485368420345,0.7105459279454355,0.8653955557087938,0.6968762738377818,0.4650943054846347,0.3519195906589575,0.6363220699115124,63.87,Alta,Automatización parcial con alertas SLA,0.35,3203.31,0.18,23.2,576.52,7,Phone
Benefits Reimbursement Request | Employee Self-Service Portal | Europe | Phone,Benefits Reimbursement Request,Employee Self-Service Portal,Europe,Phone,72,124.79055555555556,38.63930555555556,0.6527777777777778,0.5138888888888888,6.236111111111111,2.7222222222222223,11.0,31.47222222222222,0.2777777777777778,0.25,0.6140350877192983,0.5412475516282509,0.6674650733177316,0.818411847882712,0.5447606419148645,0.7666417070084397,0.7315158435626605,0.5965134975035965,0.4175684277530236,63.73,Alta,Automatización parcial con alertas SLA,0.35,3144.72,0.18,22.46,565.99,8,Phone
HR Platform Bug Report | Payroll Payment Gateway | Europe | Phone,HR Platform Bug Report,Payroll Payment Gateway,Europe,Phone,74,129.22986486486488,34.652297297297295,0.6081081081081081,0.6081081081081081,5.905405405405405,3.175675675675676,10.37837837837838,27.824324324324323,0.3108108108108108,0.2972972972972973,0.6491228070175439,0.6151356111533193,0.4548732979536853,0.7162071649680491,0.7487677395878131,0.627393562196613,0.6050798157563788,0.6818509293756818,0.5351041684587198,63.42,Alta,Automatización parcial con alertas SLA,0.35,3347.05,0.18,23.26,602.43,9,Phone
HR System Enhancement Request | HR Case Management Platform | Africa | Chat,HR System Enhancement Request,HR Case Management Platform,Africa,Chat,85,126.6575294117647,35.11105882352941,0.6,0.4823529411764706,5.91764705882353,2.9411764705882355,11.047058823529412,30.38823529411765,0.3176470588235294,0.2235294117647059,0.8421052631578947,0.572321546659426,0.4793349797494012,0.6976557267247153,0.4764777881776946,0.6325480772185587,0.741087471243136,0.6995116706240759,0.3517879207698356,63.37,Alta,Chatbot o asistente virtual,0.35,3768.06,0.18,22.8,678.3,10,HR Chat / Virtual Assistant
HRIS Access Suspension | HRIS Integration API | Asia | Email,HRIS Access Suspension,HRIS Integration API,Asia,Email,74,138.65364864864867,38.78175675675676,0.4864864864864865,0.6351351351351351,5.527027027027027,3.135135135135135,10.0,28.445945945945947,0.2297297297297297,0.4324324324324324,0.6491228070175439,0.7719854832060334,0.6750607319681436,0.4379355913180429,0.8072877038605312,0.468072188791027,0.5281187553525549,0.4723863238714724,0.8709205704749945,63.35,Alta,Workflow automation,0.35,3591.13,0.18,24.96,646.46,11,Email
